id,tanggal,teks,label
1.21199521070141E+018,2019-12-31 12: 59: 10 + 00: 00,"Halo Sobat. Ada kabar bahagia nih. Menyambut Ujian Masuk Universitas Pertamina, Upmin mau bagi-bagi memberikan! Yuk simak syarat dan ketentuannya!",2
1.21197648434212E+018,2019-12-31 11: 44: 45 + 00: 00,Halo Sobat Muda. Universitas Pertamina melakukan penandatanganan Memorandum of Understanding (MoU) dengan tiga universitas di Tajikistan pada tanggal 12 Desember 2019.,2
1.21166389029718E+018,2019-12-30 15: 02: 37 + 00: 00,"Kolaborasi adalah kunci. . Terima kasih banyak kepada siswa dan media yang membuat kami mendapat persetujuan virus positif #SayNoToNgemis. Sepanjang 2019, KNJ menjadi topik penelitian mahasiswa dari Universitas Pertamina, Uhamka dan Universitas Indonesia.",2
1.21164966250493E+018,2019-12-30 14: 06: 05 + 00: 00,"[cm] mau nanya hehe, buat kaka kaka universitas pertamina masuknya tanggal sama bulan kapan? Terima kasih",1
1.21123152057415E+018,2019-12-29 10: 24: 32 + 00: 00,Universitas Tanjungpura Juarai Pertamina Pindah Proyek 2019 di Refinery Unit V Balikpapan Kaltim - Tribun Kaltim ,2
1.21062158887953E+018,2019-12-27 18: 00: 53 + 00: 00,Posting baru: Tim Or-Tic Dari Universitas Tanjungpura Juara Proyek Pindah Pertamina 2019 ,1
1.21039321593475E+018,2019-12-27 02: 53: 25 + 00: 00,"Acara Pra Keberangkatan ini berlangsung pada 23 Desember 2019 di gedung Rektorat Universitas Pertamina. Yuk Sobat, ucapkan selamat datang untuk teman kita yang berangkat ini!",2
1.21039133893335E+018,2019-12-27 02: 45: 57 + 00: 00,"Mahasiswa yang menyelesaikan pendidikan satu semester di Universitas Pertamina yang menyebar pada program studi di Teknik Mesin, Manajemen, dan Teknik Kimia.",1
1.21018890513737E+018,2019-12-26 13: 21: 33 + 00: 00,Universitas pertamina ngapain? ,1
1.20953078067995E+018,2019-12-24 17: 46: 24 + 00: 00,Ujian Masuk Universitas Pertamina periode Januari Tahun Akademik 2020/2021. #cirebonevent,1
1.20912291929863E+018,2019-12-23 14: 45: 43 + 00: 00,Universitas Pertamina ingin meningkatkan kerja sama atau sinergitas dalam hal Pembangunan Lingkungan di wilayah Jakarta Selatan. #jaksel,1
1.20896135525805E+018,2019-12-23 04: 03: 43 + 00: 00,"Dalam agenda tersebut, masing-masing fungsi di bawah kantor Wakil Rektor menyampaikan program dan kegiatan kerja Tahun 2020 dalam rangka mencapai visi Universitas Pertamina untuk menjadi Universitas Kelas Dunia (World Class University).",1
1.20896135151254E+018,2019-12-23 04: 03: 42 + 00: 00,"Halo Sobat Muda. Pada tanggal 20-21 Desember 2019, Direktorat Sumber Daya Manusia (SDM) Universitas Pertamina mengadakan Rapat Kerja Tahunan Universitas Pertamina Periode 2019/2020. Agenda ini dihadiri oleh para pimpinan dan pejabat struktural Universitas Pertamina.",1
1.20850813716003E+018,2019-12-21 22: 02: 47 + 00: 00,tau universitas pertamina ga? - tau,1
